abed el halim,halim@gmail.com,this is a description test,5454263,egypt
amin 3amin,info@nccleb.com,this is a test,70556677,paris
fdfsdf,tarek@tarek.com,dsfsdfd,3205819,new york
george nahed,gab@gmail.com,dfgdfg,3205818,"hazmieh, facing akl decor"
habib farid,gab@gmail.com,this is a test,71727303,this is an address
hanib 3ater,dany@dany.com,this is a test,70556688,deir el qamar
mirna marina,admin@nccleb.com,this is a description test,3205205,hazmieh
samira nahed,samira@gmail.com,this is a description test,5600015,damour
test lead,tarek@tarek.com,fghfghfgh,2205555,haz
test1,tarek@tarek.com,fferfef,1001,fggfgf
